SizeID,ShapeID,DimDepth,DimDepthImperial,DimWidth,DimWidthImperial,DimWeight,DimWeightImperial,DimWeightMetric,DimThickness,DimThicknessImperial,DimGage,DimGageImperial,DimDiameter,DimDiameterImperial,DimComment,SizeUnits,BaseWeight,UnitWeight,XSectionalArea,Depth,FlangeWidth,FlangeThickness,WebThickness,KDistance,AdjustedK,UsualGage,SecondaryGage,AxisXXS,InsideDiameter,OutsideDiameter,WallThickness,CalcRevaluation,RevaluationLength1,RevaluationLength2,RevaluationLength3,RevaluationPrice1,RevaluationPrice2,RevaluationPrice3,ChargeLength,CalcScrap,ScrapWidth,ScrapLength,ScrapPrice,Kerf,KerfRipCut,KerfCrossCut,KerfInternalCut,TrimLeadingWidth,TrimLeadingLength,TrimTrailingWidth,TrimTrailingLength,ClampAllowanceFromPart,ValidCombiningScrapPercentage,FirstCutCost,FirstCutCharge,AdditionalCutCost,AdditionalCutCharge,DimensionSizesImperial,DimensionSizesImperial_Reverse,DimensionSizesImperial_EDI,Dim1Imperial,Dim1SortValue,Dim2Imperial,Dim2SortValue,Dim3Imperial,Dim3SortValue,Dim4Imperial,Dim4SortValue,Dim5Imperial,Dim5SortValue,Dim6Imperial,Dim6SortValue,SortOrder,SortOrder_Reverse,ProNestDesignation,SigmaNestDesignation,ERPDesignation
1,9,1117.60223520447,1117.60223520447,,,498533.924025958,498533.924025958,499000.0,,,,,,,,Imperial,,498533.92402595776,63548.514193802584,1117.6022352044704,403.86080772161534,44.95808991617983,26.162052324104646,65.02413004826009,65.02413004826009,0.0,0.0,23105898.875115994,,,,%,24384.0487680975,0.0,0.0,1.0,0.0,0.0,24384.0487680975,,,3656.01981203962,,3.1750063500127,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44 x 335,335 x 44,44X335,44,1117.6022,335,498533.92,,,,,,,,,333824.0,378960.0,,,D
2,9,1117.60223520447,1117.60223520447,,,431566.680500083,431566.680500083,433000.0,,,,,,,,Imperial,0.0,431566.6805000829,55096.884387317165,1107.4422148844296,401.32080264160527,40.13208026416053,21.971043942087885,59.944119888239776,59.944119888239776,,,20320081.280243848,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,44 x 290,290 x 44,44X290,44,1117.6022,290,431566.68,,,,,,,,,332800.0,375888.0,,,D
3,9,1117.60223520447,1117.60223520447,,,389898.173417316,389898.173417316,390000.0,,,,,,,,Imperial,0.0,389898.1734173162,49806.55122600568,1099.8221996443992,401.32080264160527,36.06807213614427,19.93903987807976,55.88011176022352,55.88011176022352,,,18189750.178282805,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,44 x 262,262 x 44,44X262,44,1117.6022,262,389898.17,,,,,,,,,330752.0,373968.0,,,D
4,9,1117.60223520447,1117.60223520447,,,342277.022465583,342277.022465583,343000.0,,,,,,,,Imperial,0.0,342277.02246558294,43742.022967916906,1089.6621793243587,401.32080264160527,30.98806197612395,18.034036068072137,51.05410210820422,51.05410210820422,,,15911934.615416758,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,44 x 230,230 x 44,44X230,44,1117.6022,230,342277.02,,,,,,,,,328704.0,370896.0,,,D
5,9,1016.00203200406,1016.00203200406,,,882479.453574308,882479.453574308,883000.0,,,,,,,,Imperial,0.0,882479.4535743074,112258.2890327071,1092.2021844043688,424.18084836169675,82.04216408432816,45.46609093218186,112.01422402844804,112.01422402844804,,,38345959.83529888,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,40 x 593,593 x 40,40X593,40,1016.002,593,882479.45,,,,,,,,,324608.0,385744.0,,,D
6,9,1016.00203200406,1016.00203200406,,,748544.9665225581,748544.9665225581,748000.0,,,,,,,,Imperial,0.0,748544.9665225574,95484.06193586579,1069.3421386842772,416.56083312166624,70.10414020828041,39.11607823215646,100.0762001524003,100.0762001524003,,,32446581.399099052,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,40 x 503,503 x 40,40X503,40,1016.002,503,748544.97,,,,,,,,,322560.0,384336.0,,,D
7,9,1016.00203200406,1016.00203200406,,,641397.376881158,641397.376881158,642000.0,,,,,,,,Imperial,0.0,641397.3768811576,81935.64774226323,1049.022098044196,411.4808229616459,59.944119888239776,34.036068072136146,89.91617983235966,89.91617983235966,,,27694304.32549364,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,40 x 431,431 x 40,40X431,40,1016.002,431,641397.38,,,,,,,,,319488.0,382288.0,,,D
8,9,1016.00203200406,1016.00203200406,,,590799.9039949409,590799.9039949409,591000.0,,,,,,,,Imperial,0.0,590799.903994941,75484.02193578582,1041.4020828041655,408.9408178816358,55.88011176022352,30.98806197612395,85.85217170434339,85.85217170434339,,,25563973.223532587,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,40 x 397,397 x 40,40X397,40,1016.002,397,590799.9,,,,,,,,,318464.0,381392.0,,,D
9,9,1016.00203200406,1016.00203200406,,,553595.8798139,553595.8798139,554000.0,,,,,,,,Imperial,0.0,553595.8798138994,70967.88387125162,1031.2420624841247,408.9408178816358,52.07010414020828,29.464058928117858,82.04216408432816,82.04216408432816,,,23925256.991254855,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,40 x 372,372 x 40,40X372,40,1016.002,372,553595.88,,,,,,,,,316416.0,380624.0,,,D
10,9,1016.00203200406,1016.00203200406,,,538714.2701414832,538714.2701414832,539000.0,,,,,,,,Imperial,0.0,538714.2701414828,68387.23354866065,1031.2420624841247,406.4008128016256,51.05410210820422,28.44805689611379,81.0261620523241,81.0261620523241,,,23269770.49834377,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,40 x 362,362 x 40,40X362,40,1016.002,362,538714.27,,,,,,,,,315392.0,379984.0,,,D
