SizeID,ShapeID,DimDepth,DimDepthImperial,DimDepthMetric,DimWidth,DimWidthImperial,DimWidthMetric,DimWeight,DimWeightImperial,DimWeightMetric,DimThickness,DimThicknessImperial,DimThicknessMetric,DimGage,DimGageImperial,DimGageMetric,DimDiameter,DimDiameterImperial,DimDiameterMetric,DimComment,SizeUnits,BaseWeight,UnitWeight,XSectionalArea,Depth,FlangeWidth,FlangeThickness,WebThickness,KDistance,AdjustedK,UsualGage,SecondaryGage,AxisXXS,InsideDiameter,OutsideDiameter,WallThickness,CalcRevaluation,RevaluationLength1,RevaluationLength2,RevaluationLength3,RevaluationPrice1,RevaluationPrice2,RevaluationPrice3,ChargeLength,CalcScrap,ScrapWidth,ScrapLength,ScrapPrice,Kerf,KerfRipCut,KerfCrossCut,KerfInternalCut,TrimLeadingWidth,TrimLeadingLength,TrimTrailingWidth,TrimTrailingLength,ClampAllowanceFromPart,ValidCombiningScrapPercentage,FirstCutCost,FirstCutCharge,AdditionalCutCost,AdditionalCutCharge,DimensionSizesImperial,DimensionSizesImperial_Reverse,DimensionSizesImperial_EDI,DimensionSizesMetric,DimensionSizesMetric_Reverse,DimensionSizesMetric_EDI,Dim1Imperial,Dim1Metric,Dim1SortValue,Dim2Imperial,Dim2Metric,Dim2SortValue,Dim3Imperial,Dim3Metric,Dim3SortValue,Dim4Imperial,Dim4Metric,Dim4SortValue,Dim5Imperial,Dim5Metric,Dim5SortValue,Dim6Imperial,Dim6Metric,Dim6SortValue,SortOrder,SortOrder_Reverse,ProNestDesignation,SigmaNestDesignation,ERPDesignation
1,9,1117.602235204470000,1117.602235204470000,1100.000000000000000,NULL,NULL,NULL,498533.924025958000000,498533.924025958000000,499000.000000000000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Imperial,NULL,498533.924025957826822,63548.514193802587000,1117.602235204470400,403.860807721615440,44.958089916179832,26.162052324104648,65.024130048260096,65.024130048260096,0.000000000000000,0.000000000000000,23105898.875115993000000,NULL,NULL,NULL,%,24384.048768097500000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,24384.048768097500000,NULL,NULL,3656.019812039620000,NULL,3.175006350012700,NULL,NULL,NULL,NULL,0.000000000000000,NULL,0.000000000000000,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,"44 x 335","335 x 44",44X335,"1100 x 499","499 x 1100",1100X499,44,1100,1117.6022,335,499,498533.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,333824,378960,NULL,NULL,D
2,9,1117.602235204470000,1117.602235204470000,1100.000000000000000,NULL,NULL,NULL,431566.680500083000000,431566.680500083000000,433000.000000000000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Imperial,0.000000000000000,431566.680500082894861,55096.884387317166800,1107.442214884429760,401.320802641605280,40.132080264160528,21.971043942087884,59.944119888239776,59.944119888239776,NULL,NULL,20320081.280243852000000,NULL,NULL,NULL,%,24384.048768097500000,NULL,NULL,1.000000000000000,NULL,NULL,24384.048768097500000,%,NULL,3656.019812039620000,NULL,3.175006350012700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000000000000000,NULL,NULL,NULL,NULL,"44 x 290","290 x 44",44X290,"1100 x 433","433 x 1100",1100X433,44,1100,1117.6022,290,433,431566.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,332800,375888,NULL,NULL,D
3,9,1117.602235204470000,1117.602235204470000,1100.000000000000000,NULL,NULL,NULL,389898.173417316000000,389898.173417316000000,390000.000000000000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Imperial,0.000000000000000,389898.173417316270529,49806.551226005682400,1099.822199644399280,401.320802641605280,36.068072136144272,19.939039878079756,55.880111760223520,55.880111760223520,NULL,NULL,18189750.178282803000000,NULL,NULL,NULL,%,24384.048768097500000,NULL,NULL,1.000000000000000,NULL,NULL,24384.048768097500000,%,NULL,3656.019812039620000,NULL,3.175006350012700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000000000000000,NULL,NULL,NULL,NULL,"44 x 262","262 x 44",44X262,"1100 x 390","390 x 1100",1100X390,44,1100,1117.6022,262,390,389898.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,330752,373968,NULL,NULL,D
4,9,1117.602235204470000,1117.602235204470000,1100.000000000000000,NULL,NULL,NULL,342277.022465583000000,342277.022465583000000,343000.000000000000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Imperial,0.000000000000000,342277.022465582985579,43742.022967916907600,1089.662179324358640,401.320802641605280,30.988061976123952,18.034036068072136,51.054102108204216,51.054102108204216,NULL,NULL,15911934.615416758300000,NULL,NULL,NULL,%,24384.048768097500000,NULL,NULL,1.000000000000000,NULL,NULL,24384.048768097500000,%,NULL,3656.019812039620000,NULL,3.175006350012700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000000000000000,NULL,NULL,NULL,NULL,"44 x 230","230 x 44",44X230,"1100 x 343","343 x 1100",1100X343,44,1100,1117.6022,230,343,342277.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,328704,370896,NULL,NULL,D
5,9,1016.002032004060000,1016.002032004060000,1000.000000000000000,NULL,NULL,NULL,882479.453574308000000,882479.453574308000000,883000.000000000000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Imperial,0.000000000000000,882479.453574307436732,112258.289032707108000,1092.202184404368800,424.180848361696720,82.042164084328168,45.466090932181864,112.014224028448056,112.014224028448056,NULL,NULL,38345959.835298882000000,NULL,NULL,NULL,%,24384.048768097500000,NULL,NULL,1.000000000000000,NULL,NULL,24384.048768097500000,%,NULL,3656.019812039620000,NULL,3.175006350012700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000000000000000,NULL,NULL,NULL,NULL,"40 x 593","593 x 40",40X593,"1000 x 883","883 x 1000",1000X883,40,1000,1016.002,593,883,882479.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,324608,385744,NULL,NULL,D
6,9,1016.002032004060000,1016.002032004060000,1000.000000000000000,NULL,NULL,NULL,748544.966522558000000,748544.966522558000000,748000.000000000000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Imperial,0.000000000000000,748544.966522557572810,95484.061935865816000,1069.342138684277360,416.560833121666240,70.104140208280416,39.116078232156464,100.076200152400304,100.076200152400304,NULL,NULL,32446581.399099054000000,NULL,NULL,NULL,%,24384.048768097500000,NULL,NULL,1.000000000000000,NULL,NULL,24384.048768097500000,%,NULL,3656.019812039620000,NULL,3.175006350012700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000000000000000,NULL,NULL,NULL,NULL,"40 x 503","503 x 40",40X503,"1000 x 748","748 x 1000",1000X748,40,1000,1016.002,503,748,748544.97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,322560,384336,NULL,NULL,D
7,9,1016.002032004060000,1016.002032004060000,1000.000000000000000,NULL,NULL,NULL,641397.376881158000000,641397.376881158000000,642000.000000000000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Imperial,0.000000000000000,641397.376881157681672,81935.647742263234000,1049.022098044196080,411.480822961645920,59.944119888239776,34.036068072136144,89.916179832359664,89.916179832359664,NULL,NULL,27694304.325493637000000,NULL,NULL,NULL,%,24384.048768097500000,NULL,NULL,1.000000000000000,NULL,NULL,24384.048768097500000,%,NULL,3656.019812039620000,NULL,3.175006350012700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000000000000000,NULL,NULL,NULL,NULL,"40 x 431","431 x 40",40X431,"1000 x 642","642 x 1000",1000X642,40,1000,1016.002,431,642,641397.38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,319488,382288,NULL,NULL,D
8,9,1016.002032004060000,1016.002032004060000,1000.000000000000000,NULL,NULL,NULL,590799.903994941000000,590799.903994941000000,591000.000000000000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Imperial,0.000000000000000,590799.903994941066413,75484.021935785814000,1041.402082804165600,408.940817881635760,55.880111760223520,30.988061976123952,85.852171704343408,85.852171704343408,NULL,NULL,25563973.223532588000000,NULL,NULL,NULL,%,24384.048768097500000,NULL,NULL,1.000000000000000,NULL,NULL,24384.048768097500000,%,NULL,3656.019812039620000,NULL,3.175006350012700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000000000000000,NULL,NULL,NULL,NULL,"40 x 397","397 x 40",40X397,"1000 x 591","591 x 1000",1000X591,40,1000,1016.002,397,591,590799.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,318464,381392,NULL,NULL,D
9,9,1016.002032004060000,1016.002032004060000,1000.000000000000000,NULL,NULL,NULL,553595.879813900000000,553595.879813900000000,554000.000000000000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Imperial,0.000000000000000,553595.879813899437545,70967.883871251620000,1031.242062484124960,408.940817881635760,52.070104140208280,29.464058928117856,82.042164084328168,82.042164084328168,NULL,NULL,23925256.991254858000000,NULL,NULL,NULL,%,24384.048768097500000,NULL,NULL,1.000000000000000,NULL,NULL,24384.048768097500000,%,NULL,3656.019812039620000,NULL,3.175006350012700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000000000000000,NULL,NULL,NULL,NULL,"40 x 372","372 x 40",40X372,"1000 x 554","554 x 1000",1000X554,40,1000,1016.002,372,554,553595.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,316416,380624,NULL,NULL,D
10,9,1016.002032004060000,1016.002032004060000,1000.000000000000000,NULL,NULL,NULL,538714.270141483100000,538714.270141483100000,539000.000000000000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Imperial,0.000000000000000,538714.270141482785999,68387.233548660652000,1031.242062484124960,406.400812801625600,51.054102108204216,28.448056896113792,81.026162052324104,81.026162052324104,NULL,NULL,23269770.498343766000000,NULL,NULL,NULL,%,24384.048768097500000,NULL,NULL,1.000000000000000,NULL,NULL,24384.048768097500000,%,NULL,3656.019812039620000,NULL,3.175006350012700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000000000000000,NULL,NULL,NULL,NULL,"40 x 362","362 x 40",40X362,"1000 x 539","539 x 1000",1000X539,40,1000,1016.002,362,539,538714.27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,315392,379984,NULL,NULL,D
